,E1,E2,REL
0,GeneOrGeneProduct,DiseaseOrPhenotypicFeature,Association
1,GeneOrGeneProduct,GeneOrGeneProduct,NO_RELATION
2,DiseaseOrPhenotypicFeature,GeneOrGeneProduct,NO_RELATION
5,GeneOrGeneProduct,DiseaseOrPhenotypicFeature,NO_RELATION
9,ChemicalEntity,DiseaseOrPhenotypicFeature,Association
10,ChemicalEntity,GeneOrGeneProduct,Positive_Correlation
12,GeneOrGeneProduct,ChemicalEntity,NO_RELATION
15,DiseaseOrPhenotypicFeature,ChemicalEntity,NO_RELATION
19,ChemicalEntity,GeneOrGeneProduct,NO_RELATION
23,GeneOrGeneProduct,OrganismTaxon,NO_RELATION
40,OrganismTaxon,GeneOrGeneProduct,NO_RELATION
44,OrganismTaxon,DiseaseOrPhenotypicFeature,NO_RELATION
49,DiseaseOrPhenotypicFeature,OrganismTaxon,NO_RELATION
51,SequenceVariant,OrganismTaxon,NO_RELATION
52,SequenceVariant,DiseaseOrPhenotypicFeature,NO_RELATION
53,SequenceVariant,ChemicalEntity,NO_RELATION
54,OrganismTaxon,SequenceVariant,NO_RELATION
56,OrganismTaxon,ChemicalEntity,NO_RELATION
57,DiseaseOrPhenotypicFeature,SequenceVariant,NO_RELATION
60,ChemicalEntity,SequenceVariant,NO_RELATION
61,ChemicalEntity,OrganismTaxon,NO_RELATION
71,ChemicalEntity,ChemicalEntity,NO_RELATION
118,GeneOrGeneProduct,ChemicalEntity,Bind
130,DiseaseOrPhenotypicFeature,DiseaseOrPhenotypicFeature,NO_RELATION
162,SequenceVariant,SequenceVariant,NO_RELATION
170,ChemicalEntity,DiseaseOrPhenotypicFeature,Negative_Correlation
175,ChemicalEntity,DiseaseOrPhenotypicFeature,NO_RELATION
180,ChemicalEntity,ChemicalEntity,Negative_Correlation
206,ChemicalEntity,DiseaseOrPhenotypicFeature,Positive_Correlation
215,GeneOrGeneProduct,CellLine,NO_RELATION
218,CellLine,GeneOrGeneProduct,NO_RELATION
231,OrganismTaxon,CellLine,NO_RELATION
235,DiseaseOrPhenotypicFeature,CellLine,NO_RELATION
238,CellLine,OrganismTaxon,NO_RELATION
239,CellLine,DiseaseOrPhenotypicFeature,NO_RELATION
240,DiseaseOrPhenotypicFeature,GeneOrGeneProduct,Association
246,CellLine,CellLine,NO_RELATION
260,GeneOrGeneProduct,ChemicalEntity,Positive_Correlation
266,CellLine,ChemicalEntity,NO_RELATION
272,ChemicalEntity,CellLine,NO_RELATION
312,GeneOrGeneProduct,ChemicalEntity,Negative_Correlation
342,DiseaseOrPhenotypicFeature,ChemicalEntity,Positive_Correlation
386,OrganismTaxon,OrganismTaxon,NO_RELATION
494,SequenceVariant,DiseaseOrPhenotypicFeature,Negative_Correlation
496,SequenceVariant,GeneOrGeneProduct,NO_RELATION
497,GeneOrGeneProduct,SequenceVariant,NO_RELATION
558,SequenceVariant,DiseaseOrPhenotypicFeature,Positive_Correlation
708,GeneOrGeneProduct,ChemicalEntity,Association
768,DiseaseOrPhenotypicFeature,SequenceVariant,Association
844,DiseaseOrPhenotypicFeature,SequenceVariant,Positive_Correlation
937,ChemicalEntity,ChemicalEntity,Comparison
1277,ChemicalEntity,ChemicalEntity,Positive_Correlation
1404,DiseaseOrPhenotypicFeature,ChemicalEntity,Negative_Correlation
1480,SequenceVariant,SequenceVariant,Association
1640,GeneOrGeneProduct,GeneOrGeneProduct,Association
1862,ChemicalEntity,GeneOrGeneProduct,Negative_Correlation
2080,SequenceVariant,ChemicalEntity,Association
2082,ChemicalEntity,ChemicalEntity,Conversion
2292,ChemicalEntity,SequenceVariant,Association
2659,SequenceVariant,DiseaseOrPhenotypicFeature,Association
3338,ChemicalEntity,GeneOrGeneProduct,Association
3480,GeneOrGeneProduct,GeneOrGeneProduct,Bind
3484,DiseaseOrPhenotypicFeature,GeneOrGeneProduct,Positive_Correlation
3652,GeneOrGeneProduct,GeneOrGeneProduct,Positive_Correlation
4661,SequenceVariant,ChemicalEntity,Negative_Correlation
4687,ChemicalEntity,ChemicalEntity,Association
5112,ChemicalEntity,ChemicalEntity,Cotreatment
5460,DiseaseOrPhenotypicFeature,ChemicalEntity,Association
5540,GeneOrGeneProduct,DiseaseOrPhenotypicFeature,Negative_Correlation
6078,ChemicalEntity,GeneOrGeneProduct,Bind
6287,GeneOrGeneProduct,GeneOrGeneProduct,Negative_Correlation
6690,DiseaseOrPhenotypicFeature,GeneOrGeneProduct,Negative_Correlation
7602,ChemicalEntity,SequenceVariant,Positive_Correlation
7822,SequenceVariant,ChemicalEntity,Positive_Correlation
8237,GeneOrGeneProduct,DiseaseOrPhenotypicFeature,Positive_Correlation
10616,SequenceVariant,CellLine,NO_RELATION
10619,CellLine,SequenceVariant,NO_RELATION
10757,ChemicalEntity,ChemicalEntity,Drug_Interaction
16798,SequenceVariant,GeneOrGeneProduct,Association
