,E1,E2,REL
0,GENE-Y,GENE-Y,Not
1,GENE-Y,GENE-N,Not
2,GENE-Y,GENE-Y,Not
3,GENE-Y,GENE-N,Not
4,GENE-N,GENE-Y,Not
5,GENE-N,GENE-Y,Not
6,CHEMICAL,GENE-N,Not
7,GENE-N,CHEMICAL,Not
8,CHEMICAL,CHEMICAL,Not
9,CHEMICAL,CHEMICAL,Not
10,CHEMICAL,CHEMICAL,Not
11,CHEMICAL,CHEMICAL,Not
12,CHEMICAL,CHEMICAL,Not
13,CHEMICAL,CHEMICAL,Not
14,CHEMICAL,CHEMICAL,Not
15,CHEMICAL,CHEMICAL,Not
16,CHEMICAL,CHEMICAL,Not
17,CHEMICAL,CHEMICAL,Not
18,CHEMICAL,CHEMICAL,Not
19,CHEMICAL,CHEMICAL,Not
20,CHEMICAL,GENE-Y,Downregulator
21,CHEMICAL,GENE-Y,Downregulator
22,CHEMICAL,GENE-Y,Downregulator
23,CHEMICAL,GENE-Y,Downregulator
24,CHEMICAL,GENE-Y,Downregulator
25,CHEMICAL,GENE-Y,Downregulator
26,CHEMICAL,GENE-Y,Downregulator
27,CHEMICAL,GENE-Y,Downregulator
28,CHEMICAL,GENE-Y,Downregulator
29,CHEMICAL,CHEMICAL,Not
30,CHEMICAL,CHEMICAL,Not
31,CHEMICAL,CHEMICAL,Not
32,CHEMICAL,CHEMICAL,Not
33,CHEMICAL,CHEMICAL,Not
34,CHEMICAL,CHEMICAL,Not
35,CHEMICAL,CHEMICAL,Not
36,CHEMICAL,CHEMICAL,Not
37,CHEMICAL,CHEMICAL,Not
38,CHEMICAL,CHEMICAL,Not
39,CHEMICAL,CHEMICAL,Not
40,CHEMICAL,CHEMICAL,Not
41,CHEMICAL,CHEMICAL,Not
42,CHEMICAL,CHEMICAL,Not
43,CHEMICAL,CHEMICAL,Not
44,CHEMICAL,CHEMICAL,Not
45,CHEMICAL,CHEMICAL,Not
46,CHEMICAL,CHEMICAL,Not
47,CHEMICAL,CHEMICAL,Not
48,CHEMICAL,CHEMICAL,Not
49,GENE-Y,CHEMICAL,Not
50,CHEMICAL,CHEMICAL,Not
51,CHEMICAL,CHEMICAL,Not
52,CHEMICAL,CHEMICAL,Not
53,GENE-Y,CHEMICAL,Not
54,CHEMICAL,CHEMICAL,Not
55,CHEMICAL,CHEMICAL,Not
56,CHEMICAL,CHEMICAL,Not
57,CHEMICAL,CHEMICAL,Not
58,CHEMICAL,CHEMICAL,Not
59,CHEMICAL,CHEMICAL,Not
60,CHEMICAL,CHEMICAL,Not
61,GENE-Y,CHEMICAL,Not
62,CHEMICAL,CHEMICAL,Not
63,CHEMICAL,CHEMICAL,Not
64,CHEMICAL,CHEMICAL,Not
65,CHEMICAL,CHEMICAL,Not
66,CHEMICAL,CHEMICAL,Not
67,CHEMICAL,CHEMICAL,Not
68,CHEMICAL,CHEMICAL,Not
69,CHEMICAL,CHEMICAL,Not
70,CHEMICAL,GENE-Y,Downregulator
71,CHEMICAL,GENE-N,Downregulator
72,CHEMICAL,GENE-N,Downregulator
